epoch,global_step,learning_rate,stage,train_loss,training_batch_wer,val_loss,val_wer
0,0.0,,val_end,,,,
0,20882.998046875,9.089611558010802e-05,val_end,12.052672386169434,0.16500000655651093,,
0,20882.998046875,9.089611558010802e-05,train_end,12.052672386169434,0.16500000655651093,13.950651168823242,0.08385326713323593
1,41765.99609375,6.62241000100039e-05,val_end,50.067718505859375,0.12019230425357819,13.950651168823242,0.08385326713323593
1,41765.99609375,6.62241000100039e-05,train_end,50.067718505859375,0.12019230425357819,13.580391883850098,0.08099915832281113
2,62649.0,3.5490014852257445e-05,val_end,25.380237579345703,0.10499999672174454,13.580391883850098,0.08099915832281113
2,62649.0,3.5490014852257445e-05,train_end,25.380237579345703,0.10499999672174454,13.204009056091309,0.07967166602611542
3,83531.9921875,1.0542687050474342e-05,val_end,8.225921630859375,0.21084336936473846,13.204009056091309,0.07967166602611542
3,83531.9921875,1.0542687050474342e-05,train_end,8.225921630859375,0.21084336936473846,13.226578712463379,0.07887516915798187
4,104415.265625,9.999999974752427e-07,val_end,12.61351490020752,0.0793650820851326,13.226578712463379,0.07887516915798187
4,104415.265625,9.999999974752427e-07,train_end,12.61351490020752,0.0793650820851326,13.171514511108398,0.07852117717266083
